model,dataset,text_id,magnitude,cosine_similarity
gpt2,g1s,126,194.56241,0.9585897
gpt2,g1s,127,221.59833,0.9814371
gpt2,g1s,128,188.23727,0.9829429
gpt2,g1s,129,200.11598,0.97959447
gpt2,g1s,130,164.82393,0.9718362
gpt2,g1s,131,188.23727,0.9829429
gpt2,g1s,132,175.97638,0.9735306
gpt2,g1s,133,221.59833,0.9814371
gpt2,g1s,134,175.17415,0.9689196
gpt2,g1s,135,178.49141,0.9737486
gpt2,g1s,136,208.78711,0.94640386
gpt2,g1s,137,179.82085,0.9732078
gpt2,g1s,138,179.07274,0.97466624
gpt2,g1s,139,200.61171,0.9815179
gpt2,g1s,140,190.66606,0.98157334
gpt2,g1s,141,188.97151,0.97597134
gpt2,g1s,142,193.40712,0.98586357
gpt2,g1s,143,186.07469,0.976899
gpt2,g1s,144,181.29001,0.9763871
gpt2,g1s,145,194.86626,0.98178756
gpt2,g1s,146,179.07274,0.97466624
gpt2,g1s,147,175.50632,0.977784
gpt2,g1s,148,200.11598,0.97959447
gpt2,g1s,149,206.45909,0.98351735
gpt2,g1m,0,172.06396,0.9306128
gpt2,g1m,1,187.80235,0.9774148
gpt2,g1m,2,180.37247,0.97359776
gpt2,g1m,3,196.27325,0.9737198
gpt2,g1m,4,178.00865,0.97673035
gpt2,g1m,5,198.44888,0.9736789
gpt2,g1m,6,190.20422,0.97454834
gpt2,g1m,7,199.73962,0.9814458
gpt2,g1m,8,189.07082,0.8034978
gpt2,g1m,9,187.38692,0.97663397
gpt2,g1m,10,187.38692,0.97663397
gpt2,g1m,11,189.66444,0.9801184
gpt2,g1m,12,201.86305,0.98548275
gpt2,g1m,13,197.2428,0.98135906
gpt2,g1m,14,193.0097,0.9785446
gpt2,g1m,15,186.73595,0.9724419
gpt2,g1m,16,194.75401,0.98032135
gpt2,g1m,17,194.75401,0.98032135
gpt2,g1m,18,168.476,0.96513945
gpt2,g1m,19,178.38283,0.9788342
gpt2,g1m,20,211.2481,0.97571653
gpt2,g1m,21,198.44888,0.9736789
gpt2,g1m,22,194.04361,0.89890426
gpt2,g1m,23,171.94093,0.94142544
gpt2,g1m,24,168.476,0.96513945
gpt2,g1m,25,181.58772,0.97764546
gpt2,g1m,26,177.87625,0.971757
gpt2,g1m,27,200.81436,0.9797839
gpt2,g1m,28,205.09164,0.9861236
gpt2,g1m,29,180.37247,0.97359776
gpt2,g1m,30,207.09215,0.98236793
gpt2,g1m,31,182.01717,0.79665864
gpt2,g1m,32,189.66444,0.9801184
gpt2,g1m,33,172.06396,0.9306128
gpt2,g1m,34,171.94093,0.94142544
gpt2,g1m,35,196.17412,0.9727723
gpt2,g1m,36,185.0281,0.975892
gpt2,g1m,37,204.99551,0.97858685
gpt2,g1m,38,182.01717,0.79665864
gpt2,g1m,39,207.09215,0.98236793
gpt2,g1m,40,177.87625,0.971757
gpt2,g1m,41,201.86305,0.98548275
gpt2,g1m,42,196.9913,0.98023534
gpt2,g1m,43,196.17412,0.9727723
gpt2,g1m,44,207.09215,0.98236793
gpt2,g1m,45,196.9913,0.98023534
gpt2,g1m,46,204.99551,0.97858685
gpt2,g1m,47,181.8003,0.97900105
gpt2,g1m,48,196.17412,0.9727723
gpt2,g1m,49,176.47166,0.9662493
gpt2,g1m,50,196.17412,0.9727723
gpt2,g1m,51,200.81436,0.9797839
gpt2,g1m,52,200.38866,0.962204
gpt2,g1m,53,182.01717,0.79665864
gpt2,g1m,54,196.27325,0.9737198
gpt2,g1m,55,178.00865,0.97673035
gpt2,g1m,56,199.58984,0.9764663
gpt2,g1m,57,198.44888,0.9736789
gpt2,g1m,58,183.47076,0.9238818
gpt2,g1m,59,185.0281,0.975892
gpt2,g1m,60,172.06396,0.9306128
gpt2,g1m,61,211.2481,0.97571653
gpt2,g1m,62,178.38283,0.9788342
gpt2,g1m,63,187.80235,0.9774148
gpt2,g1m,64,181.8003,0.97900105
gpt2,g1m,65,183.47076,0.9238818
gpt2,g1m,66,196.9913,0.98023534
gpt2,g1m,67,200.38866,0.962204
gpt2,g1m,68,189.07082,0.8034978
gpt2,g1m,69,205.09164,0.9861236
gpt2,g1m,70,194.04361,0.89890426
gpt2,g1m,71,197.2428,0.98135906
gpt2,g1m,72,186.73595,0.9724419
gpt2,g1m,73,182.51137,0.9652701
gpt2,g1m,74,196.17412,0.9727723
gpt2,g1m,75,181.58772,0.97764546
gpt2,g1m,76,199.58984,0.9764663
gpt2,g1m,77,190.06453,0.94695425
gpt2,g1m,78,182.51137,0.9652701
gpt2,g1m,79,211.87631,0.94893575
gpt2,g1m,80,193.79808,0.9787281
gpt2,g1m,81,196.82365,0.9799822
gpt2,g1m,82,193.76132,0.974029
gpt2,g1m,83,206.53864,0.98534614
gpt2,g1m,84,224.09358,0.6877855
gpt2,g1m,85,202.51302,0.97320575
gpt2,g1m,86,172.62343,0.97483325
gpt2,g1m,87,211.87631,0.94893575
gpt2,g1m,88,193.35327,0.9752241
gpt2,g1m,89,182.84767,0.96284074
gpt2,g1m,90,209.33344,0.90398914
gpt2,g1m,91,180.21909,0.9791323
gpt2,g1m,92,180.32678,0.9774647
gpt2,g1m,93,199.98315,0.84535426
gpt2,g1m,94,193.79808,0.9787281
gpt2,g1m,95,168.83023,0.9173889
gpt2,g1m,96,178.40851,0.8164511
gpt2,g1m,97,199.736,0.9772646
gpt2,g1m,98,191.85823,0.978376
gpt2,g1m,99,220.94234,0.77800816
gpt2,g1m,100,189.47711,0.96929866
gpt2,g1m,101,173.90335,0.96816057
gpt2,g1m,102,171.56198,0.96992713
gpt2,g1m,103,199.2448,0.97376996
gpt2,g1m,104,182.10579,0.9730165
gpt2,g1m,105,191.92194,0.8510774
gpt2,g1m,106,220.94234,0.77800816
gpt2,g1m,107,177.27353,0.969412
gpt2,g1m,108,188.18463,0.958911
gpt2,g1m,109,178.49297,0.97555363
gpt2,g1m,110,199.98315,0.84535426
gpt2,g1m,111,198.8473,0.9750552
gpt2,g1m,112,211.58864,0.9778912
gpt2,g1m,113,177.6425,0.97042894
gpt2,g1m,114,172.62343,0.97483325
gpt2,g1m,115,196.82365,0.9799822
gpt2,g1m,116,174.28386,0.8252146
gpt2,g1m,117,194.85316,0.9342164
gpt2,g1m,118,189.14969,0.979412
gpt2,g1m,119,205.71623,0.9839184
gpt2,g1m,120,185.26094,0.83965045
gpt2,g1m,121,187.91011,0.30460247
gpt2,g1m,122,191.85823,0.978376
gpt2,g1m,123,182.432,0.9696668
gpt2,g1m,124,177.6425,0.97042894
gpt2,g1m,125,209.33344,0.90398914
gpt2,g1m,126,187.72755,0.9732063
gpt2,g1m,127,212.46074,0.97400373
gpt2,g1m,128,183.9535,0.97309214
gpt2,g1m,129,154.92484,0.9792021
gpt2,g1m,130,188.57735,0.9762065
gpt2,g1m,131,176.06905,0.9743839
gpt2,g1m,132,189.14969,0.979412
gpt2,g1m,133,183.9535,0.97309214
gpt2,g1m,134,185.26094,0.83965045
gpt2,g1m,135,188.60411,0.96211404
gpt2,g1m,136,174.97528,0.9688719
gpt2,g1m,137,168.83023,0.9173889
gpt2,g1m,138,210.84683,0.9797197
gpt2,g1m,139,182.84767,0.96284074
gpt2,g1m,140,210.35048,0.96418554
gpt2,g1m,141,196.25067,0.9822128
gpt2,g1m,142,175.86638,0.9753137
gpt2,g1m,143,194.85316,0.9342164
gpt2,g1m,144,180.32678,0.9774647
gpt2,g1m,145,180.04001,0.9313426
gpt2,g1m,146,192.77951,0.97495025
gpt2,g1m,147,192.90468,0.9157701
gpt2,g1m,148,180.0471,0.9617988
gpt2,g1m,149,178.40851,0.8164511
gpt2,g1c,0,181.09686,0.9247434
gpt2,g1c,1,195.57268,0.9614439
gpt2,g1c,2,203.16202,0.9573257
